,team_id,abbreviation,nickname,city,arena
0,1610612737,ATL,Hawks,Atlanta,State Farm Arena
1,1610612738,BOS,Celtics,Boston,TD Garden
2,1610612740,NOP,Pelicans,New Orleans,Smoothie King Center
3,1610612741,CHI,Bulls,Chicago,United Center
4,1610612742,DAL,Mavericks,Dallas,American Airlines Center
5,1610612743,DEN,Nuggets,Denver,Pepsi Center
6,1610612745,HOU,Rockets,Houston,Toyota Center
7,1610612746,LAC,Clippers,Los Angeles,Staples Center
8,1610612747,LAL,Lakers,Los Angeles,Staples Center
9,1610612748,MIA,Heat,Miami,AmericanAirlines Arena
10,1610612749,MIL,Bucks,Milwaukee,Fiserv Forum
11,1610612750,MIN,Timberwolves,Minnesota,Target Center
12,1610612751,BKN,Nets,Brooklyn,Barclays Center
13,1610612752,NYK,Knicks,New York,Madison Square Garden
14,1610612753,ORL,Magic,Orlando,Amway Center
15,1610612754,IND,Pacers,Indiana,Bankers Life Fieldhouse
16,1610612755,PHI,76ers,Philadelphia,Wells Fargo Center
17,1610612756,PHX,Suns,Phoenix,Talking Stick Resort Arena
18,1610612757,POR,Trail Blazers,Portland,Moda Center
19,1610612758,SAC,Kings,Sacramento,Golden 1 Center
20,1610612759,SAS,Spurs,San Antonio,AT&T Center
21,1610612760,OKC,Thunder,Oklahoma City,Chesapeake Energy Arena
22,1610612761,TOR,Raptors,Toronto,Scotiabank Arena
23,1610612762,UTA,Jazz,Utah,Vivint Smart Home Arena
24,1610612763,MEM,Grizzlies,Memphis,FedExForum
25,1610612764,WAS,Wizards,Washington,Capital One Arena
26,1610612765,DET,Pistons,Detroit,Little Caesars Arena
27,1610612766,CHA,Hornets,Charlotte,Spectrum Center
28,1610612739,CLE,Cavaliers,Cleveland,Quicken Loans Arena
29,1610612744,GSW,Warriors,Golden State,Chase Center
