player_name,salary
Stephen Curry,"$37,457,154  "
Russell Westbrook,"$35,654,150  "
LeBron James,"$35,654,150  "
Chris Paul,"$35,654,150  "
Kyle Lowry,"$32,700,000  "
Blake Griffin,"$32,088,932  "
Gordon Hayward,"$31,214,295  "
Paul George,"$30,560,700  "
Mike Conley,"$30,521,115  "
James Harden,"$30,421,854  "
Kevin Durant,"$30,000,000  "
Paul Millsap,"$29,230,769  "
Al Horford,"$28,928,709  "
Damian Lillard,"$27,977,689  "
DeMar DeRozan,"$27,739,975  "
Jrue Holiday,"$26,261,111  "
Otto Porter Jr.,"$26,011,913  "
C.J. McCollum,"$25,759,766  "
Nikola Jokic,"$25,467,250  "
Andrew Wiggins,"$25,467,250  "
Joel Embiid,"$25,467,250  "
Hassan Whiteside,"$25,434,263  "
Andre Drummond,"$25,434,263  "
Anthony Davis,"$25,434,263  "
Bradley Beal,"$25,434,263  "
Harrison Barnes,"$24,793,702  "
Steven Adams,"$24,157,303  "
Giannis Antetokounmpo,"$24,157,303  "
Marc Gasol,"$24,119,025  "
Kevin Love,"$24,119,025  "
Chandler Parsons,"$24,107,258  "
Nicolas Batum,"$24,000,000  "
Rudy Gobert,"$23,491,573  "
Kawhi Leonard,"$23,114,066  "
DeAndre Jordan,"$22,897,200  "
LaMarcus Aldridge,"$22,347,015  "
Serge Ibaka,"$21,666,667  "
Aaron Gordon,"$21,590,909  "
Danilo Gallinari,"$21,587,579  "
Victor Oladipo,"$21,000,000  "
Jimmy Butler,"$20,445,779  "
Ryan Anderson,"$20,421,546  "
Kyrie Irving,"$20,099,188  "
Jabari Parker,"$20,000,000  "
Zach LaVine,"$19,500,000  "
Tyler Johnson,"$19,245,370  "
Tim Hardaway Jr.,"$19,200,127  "
John Wall,"$19,169,800  "
George Hill,"$19,000,000  "
Jeff Teague,"$19,000,000  "
Klay Thompson,"$18,988,725  "
Allen Crabbe,"$18,500,000  "
Goran Dragic,"$18,109,175  "
Kent Bazemore,"$18,089,887  "
Evan Turner,"$17,868,852  "
Draymond Green,"$17,469,565  "
Tristan Thompson,"$17,469,565  "
Reggie Jackson,"$17,043,478  "
Evan Fournier,"$17,000,000  "
Bismack Biyombo,"$17,000,000  "
Derrick Favors,"$16,900,000  "
Jonas Valanciunas,"$16,539,326  "
Gary Harris,"$16,517,857  "
Timofey Mozgov,"$16,000,000  "
Andre Iguodala,"$16,000,000  "
Ian Mahinmi,"$15,944,154  "
Dennis Schröder,"$15,500,000  "
DeMarre Carroll,"$15,400,000  "
Gorgui Dieng,"$15,170,787  "
Eric Bledsoe,"$15,000,000  "
Trevor Ariza,"$15,000,000  "
Ricky Rubio,"$14,975,000  "
Tobias Harris,"$14,800,000  "
J.R. Smith,"$14,720,000  "
James Johnson,"$14,651,700  "
Brandon Knight,"$14,631,250  "
Robin Lopez,"$14,357,750  "
Marvin Williams,"$14,087,500  "
Taj Gibson,"$14,000,000  "
Clint Capela,"$13,793,103  "
Thaddeus Young,"$13,764,045  "
Cody Zeller,"$13,528,090  "
Eric Gordon,"$13,500,375  "
Nikola Vucevic,"$13,250,000  "
Joe Ingles,"$13,045,455  "
Khris Middleton,"$13,000,000  "
Michael Kidd-Gilchrist,"$13,000,000  "
Mason Plumlee,"$12,917,808  "
Wilson Chandler,"$12,800,562  "
Miles Plumlee,"$12,500,000  "
Nikola Mirotic,"$12,500,000  "
Jordan Clarkson,"$12,500,000  "
Tyreke Evans,"$12,400,000  "
Jusuf Nurkic,"$12,361,111  "
Courtney Lee,"$12,253,780  "
Solomon Hill,"$12,252,928  "
J.J. Redick,"$12,250,000  "
Kelly Olynyk,"$12,137,527  "
Kemba Walker,"$12,000,000  "
Kentavious Caldwell-Pope,"$12,000,000  "
Avery Bradley,"$12,000,000  "
Will Barton,"$11,830,358  "
T.J. Warren,"$11,750,000  "
Marcus Smart,"$11,660,716  "
Patrick Mills,"$11,571,429  "
Dion Waiters,"$11,550,000  "
Alec Burks,"$11,536,515  "
John Henson,"$11,327,466  "
Iman Shumpert,"$11,011,236  "
Tony Snell,"$10,807,143  "
Meyers Leonard,"$10,595,506  "
Bojan Bogdanovic,"$10,500,000  "
Terrence Ross,"$10,500,000  "
Robert Covington,"$10,464,092  "
Maurice Harkless,"$10,337,079  "
Rudy Gay,"$10,087,200  "
Jon Leuer,"$10,002,681  "
Andre Roberson,"$10,000,000  "
Darren Collison,"$10,000,000  "
Danny Green,"$10,000,000  "
Dwight Powell,"$9,631,250  "
Matthew Dellavedova,"$9,607,500  "
Dante Exum,"$9,600,000  "
Jared Dudley,"$9,530,000  "
Josh Richardson,"$9,367,200  "
Norman Powell,"$9,367,200  "
Bogdan Bogdanovic,"$9,000,000  "
Rajon Rondo,"$9,000,000  "
E'Twaun Moore,"$8,808,685  "
Kosta Koufos,"$8,739,500  "
Jerami Grant,"$8,653,847  "
Fred VanVleet,"$8,653,847  "
Julius Randle,"$8,641,000  "
Kyle Anderson,"$8,641,000  "
Jerryd Bayless,"$8,575,916  "
Cristiano Felicio,"$8,470,980  "
Markelle Fultz,"$8,339,880  "
Joe Harris,"$8,333,333  "
C.J. Miles,"$8,333,333  "
Shaun Livingston,"$8,307,692  "
Deandre Ayton,"$8,165,160  "
Garrett Temple,"$8,000,000  "
Louis Williams,"$8,000,000  "
P.J. Tucker,"$7,969,537  "
Cory Joseph,"$7,945,000  "
JaMychal Green,"$7,866,667  "
Karl-Anthony Towns,"$7,839,435  "
Kyle Korver,"$7,560,000  "
Jeremy Lamb,"$7,488,372  "
Lonzo Ball,"$7,461,960  "
